Country,  total_tests, total_deaths, total_cases, human_development_index
Cote d'Ivoire, 1151972.0, 704.0, 61758.0, 53.800000000000004
Croatia, 3463550.0, 10967.0, 613914.0, 85.10000000000001
Cuba, 0.0, 8305.0, 962628.0, 78.30000000000001
Curacao, 0.0, 0.0, 0.0, 0.0
Cyprus, 16549061.0, 598.0, 134965.0, 88.7
Czechia, 0.0, 33186.0, 2172084.0, 0.9
Democratic Republic of Congo, 0.0, 1107.0, 58306.0, 4.800000000000001
Denmark, 47250361.0, 2922.0, 497665.0, 9.4
Djibouti, 0.0, 186.0, 13504.0, 52.400000000000006
Dominica, 0.0, 38.0, 6028.0, 74.2
Dominican Republic, 0.0, 4210.0, 407474.0, 75.60000000000001
Ecuador, 1913525.0, 33250.0, 526870.0, 75.9
Egypt, 0.0, 20537.0, 359516.0, 70.7
El Salvador, 0.0, 3778.0, 119803.0, 67.3
Equatorial Guinea, 259834.0, 175.0, 13592.0, 59.2
Eritrea, 0.0, 60.0, 7393.0, 45.900000000000006
Estonia, 2349059.0, 1803.0, 223171.0, 89.2
Eswatini, 0.0, 1248.0, 46753.0, 61.1
Ethiopia, 0.0, 6771.0, 371672.0, 48.5
Europe, 0.0, 1424536.0, 75127331.0, 0.0
European Union, 0.0, 848405.0, 47037903.0, 0.0
Faeroe Islands, 0.0, 0.0, 0.0, 0.0
Falkland Islands, 0.0, 0.0, 0.0, 0.0
Fiji, 0.0, 697.0, 52532.0, 74.3
Finland, 7960883.0, 1348.0, 188108.0, 93.80000000000001
France, 0.0, 120208.0, 7829045.0, 90.10000000000001
French Polynesia, 0.0, 0.0, 0.0, 0.0
Gabon, 1394773.0, 279.0, 37342.0, 70.3
Gambia, 0.0, 342.0, 9989.0, 49.6
Georgia, 0.0, 12119.0, 850102.0, 81.2
Germany, 0.0, 102183.0, 5999020.0, 94.7
Ghana, 0.0, 1209.0, 130920.0, 61.1
Gibraltar, 0.0, 0.0, 0.0, 0.0
Greece, 36708282.0, 18234.0, 945095.0, 88.80000000000001
Greenland, 0.0, 0.0, 0.0, 0.0
Grenada, 0.0, 200.0, 5898.0, 77.9
Guatemala, 1631448.0, 15956.0, 618436.0, 66.3
Guernsey, 0.0, 0.0, 0.0, 0.0
Guinea, 0.0, 387.0, 30770.0, 47.7
Guinea-Bissau, 0.0, 148.0, 6442.0, 4.800000000000001
Guyana, 0.0, 997.0, 37951.0, 68.2
Haiti, 0.0, 746.0, 25351.0, 5.1000000000000005
Honduras, 0.0, 10402.0, 377859.0, 63.400000000000006
Hong Kong, 0.0, 213.0, 12439.0, 94.9
Hungary, 7972599.0, 34713.0, 1114260.0, 85.4
Iceland, 752369.0, 35.0, 18055.0, 94.9
India, 642412315.0, 469724.0, 34606541.0, 64.5
Indonesia, 36686240.0, 143840.0, 4256687.0, 71.8
International, 0.0, 15.0, 721.0, 0.0
Iran, 38873156.0, 129912.0, 6121757.0, 78.30000000000001
Iraq, 16341046.0, 23844.0, 2082061.0, 67.4
Ireland, 9017561.0, 5707.0, 573905.0, 95.5
Isle of Man, 0.0, 0.0, 0.0, 0.0
Israel, 32477823.0, 8199.0, 1344103.0, 91.9
Italy, 119331735.0, 133931.0, 5043620.0, 89.2
Jamaica, 673434.0, 2396.0, 91272.0, 73.4
Japan, 26664442.0, 18358.0, 1726751.0, 91.9
Jersey, 0.0, 0.0, 0.0, 0.0
Jordan, 12169073.0, 11633.0, 958990.0, 72.9
Kazakhstan, 0.0, 17856.0, 1055779.0, 82.5
Kenya, 0.0, 5335.0, 255164.0, 60.1
Kiribati, 0.0, 0.0, 2.0, 6.300000000000001
Kosovo, 1315436.0, 2984.0, 161099.0, 0.0
Kuwait, 5330503.0, 2465.0, 413383.0, 80.60000000000001
Kyrgyzstan, 0.0, 2749.0, 183404.0, 69.7
Laos, 817520.0, 178.0, 75163.0, 61.300000000000004
Latvia, 5295135.0, 4213.0, 254690.0, 86.60000000000001
Lebanon, 0.0, 8735.0, 672548.0, 74.4
Lesotho, 0.0, 663.0, 21807.0, 52.7
Liberia, 0.0, 287.0, 5824.0, 4.800000000000001
Libya, 0.0, 5466.0, 373210.0, 72.4
Liechtenstein, 79764.0, 61.0, 4745.0, 91.9
Lithuania, 6441314.0, 6759.0, 472239.0, 88.2
Luxembourg, 3688070.0, 876.0, 89766.0, 91.60000000000001
Macao, 0.0, 0.0, 0.0, 0.0
Madagascar, 0.0, 967.0, 44330.0, 52.800000000000004
Malawi, 0.0, 2306.0, 61926.0, 48.300000000000004
Malaysia, 37999992.0, 30474.0, 2638221.0, 8.1
Maldives, 1745006.0, 251.0, 91750.0, 7.4
Mali, 0.0, 610.0, 17500.0, 43.400000000000006
Malta, 1406208.0, 468.0, 39530.0, 89.5
Marshall Islands, 0.0, 0.0, 4.0, 70.4
Mauritania, 0.0, 835.0, 39339.0, 54.6
Mauritius, 0.0, 240.0, 21040.0, 80.4
Mexico, 11277194.0, 294428.0, 3891218.0, 77.9
Micronesia (country), 0.0, 0.0, 1.0, 6.2
Moldova, 0.0, 9141.0, 364433.0, 7.5
Monaco, 0.0, 36.0, 3797.0, 0.0
Mongolia, 4427875.0, 2008.0, 382523.0, 73.7
Montenegro, 0.0, 2310.0, 157611.0, 82.9
Montserrat, 0.0, 0.0, 0.0, 0.0
Morocco, 9494575.0, 14779.0, 950088.0, 68.60000000000001
Mozambique, 0.0, 1941.0, 151594.0, 45.6
Myanmar, 0.0, 19111.0, 522825.0, 58.300000000000004
Namibia, 787883.0, 3573.0, 129243.0, 64.60000000000001
Nauru, 0.0, 0.0, 0.0, 0.0
Nepal, 4622560.0, 11529.0, 821651.0, 60.2
Netherlands, 16097710.0, 19909.0, 2703052.0, 94.4
New Caledonia, 0.0, 0.0, 0.0, 0.0
New Zealand, 4941226.0, 44.0, 11896.0, 93.10000000000001
Nicaragua, 0.0, 213.0, 17254.0, 6.6000000000000005
Niger, 0.0, 259.0, 7007.0, 39.400000000000006
Nigeria, 3580510.0, 2978.0, 214270.0, 53.900000000000006
Niue, 0.0, 0.0, 0.0, 0.0
North America, 0.0, 1171373.0, 58241029.0, 0.0
North Macedonia, 0.0, 7592.0, 215995.0, 77.4
Northern Cyprus, 0.0, 0.0, 0.0, 0.0
Norway, 8488787.0, 1092.0, 271623.0, 95.7
Oceania, 0.0, 3309.0, 313067.0, 0.0
Oman, 0.0, 4113.0, 304572.0, 81.30000000000001
Pakistan, 22028156.0, 28745.0, 1285631.0, 55.7
Palau, 0.0, 0.0, 8.0, 82.60000000000001
Palestine, 0.0, 4803.0, 460799.0, 70.8
Panama, 4229011.0, 7367.0, 477990.0, 81.5
Papua New Guinea, 0.0, 546.0, 35237.0, 55.5
Paraguay, 1953832.0, 16474.0, 463121.0, 72.8
Peru, 0.0, 201176.0, 2236351.0, 77.7
Philippines, 22788834.0, 48712.0, 2833038.0, 71.8
Pitcairn, 0.0, 0.0, 0.0, 0.0
Poland, 24433048.0, 84153.0, 3569137.0, 8.8
Portugal, 21283107.0, 18458.0, 1151919.0, 86.4
Qatar, 0.0, 611.0, 243607.0, 84.80000000000001
Romania, 16019397.0, 56618.0, 1780808.0, 82.80000000000001
Russia, 224952019.0, 271091.0, 9500836.0, 82.4
Rwanda, 3480201.0, 1343.0, 100362.0, 54.300000000000004
Saint Helena, 0.0, 0.0, 0.0, 0.0
Saint Kitts and Nevis, 56687.0, 28.0, 2786.0, 77.9
Saint Lucia, 0.0, 280.0, 13017.0, 75.9
Saint Vincent and the Grenadines, 90554.0, 74.0, 5562.0, 73.8
Samoa, 0.0, 0.0, 3.0, 71.5
San Marino, 0.0, 93.0, 6084.0, 0.0
Sao Tome and Principe, 0.0, 56.0, 3731.0, 62.5
Saudi Arabia, 31538438.0, 8837.0, 549786.0, 85.4
Senegal, 890047.0, 1885.0, 73990.0, 51.2
Serbia, 6830241.0, 11744.0, 1257025.0, 80.60000000000001
Seychelles, 0.0, 127.0, 23537.0, 79.60000000000001
Sierra Leone, 0.0, 121.0, 6402.0, 45.2
Singapore, 0.0, 726.0, 266049.0, 93.80000000000001
Sint Maarten (Dutch part), 0.0, 0.0, 0.0, 0.0
Slovakia, 44755137.0, 14503.0, 1182562.0, 8.6
Slovenia, 1943304.0, 5240.0, 423162.0, 91.7
Solomon Islands, 0.0, 0.0, 20.0, 56.7
Somalia, 0.0, 1327.0, 23016.0, 0.0
South Africa, 19529031.0, 89871.0, 2976613.0, 70.9
South America, 0.0, 1182049.0, 38960894.0, 0.0
South Korea, 0.0, 3705.0, 457612.0, 91.60000000000001
South Sudan, 0.0, 133.0, 12777.0, 43.300000000000004
Spain, 64470158.0, 88080.0, 5174720.0, 90.4
Sri Lanka, 5668105.0, 14372.0, 564733.0, 78.2
Sudan, 0.0, 3159.0, 43229.0, 5.1000000000000005
Suriname, 0.0, 1169.0, 50882.0, 73.8
Sweden, 0.0, 15161.0, 1207498.0, 94.5
Switzerland, 12403612.0, 11548.0, 1025129.0, 95.5
Syria, 0.0, 2755.0, 48267.0, 56.7
Taiwan, 4491850.0, 848.0, 16609.0, 0.0
Tajikistan, 0.0, 125.0, 17493.0, 66.8
Tanzania, 0.0, 730.0, 26270.0, 52.900000000000006
Thailand, 0.0, 20814.0, 2120758.0, 77.7
Timor, 0.0, 122.0, 19825.0, 60.6
Togo, 579706.0, 243.0, 26273.0, 51.5
Tokelau, 0.0, 0.0, 0.0, 0.0
Tonga, 0.0, 0.0, 1.0, 72.5
Trinidad and Tobago, 0.0, 2177.0, 72019.0, 79.60000000000001
Tunisia, 3177078.0, 25376.0, 717710.0, 7.4
Turkey, 107972138.0, 77038.0, 8820114.0, 8.200000000000001
Turkmenistan, 0.0, 0.0, 0.0, 71.5
Turks and Caicos Islands, 0.0, 0.0, 0.0, 0.0
Tuvalu, 0.0, 0.0, 0.0, 0.0
Uganda, 1958401.0, 3252.0, 127589.0, 54.400000000000006
Ukraine, 15917165.0, 91860.0, 3619223.0, 77.9
United Arab Emirates, 0.0, 2148.0, 742109.0, 8.9
United Kingdom, 328984664.0, 145586.0, 10333672.0, 93.2
United States, 662998131.0, 782100.0, 48692492.0, 92.60000000000001
Uruguay, 4114672.0, 6131.0, 399966.0, 81.7
Uzbekistan, 0.0, 1406.0, 193424.0, 7.2
Vanuatu, 0.0, 1.0, 6.0, 60.900000000000006
Vatican, 0.0, 0.0, 27.0, 0.0
Venezuela, 0.0, 5161.0, 432514.0, 71.10000000000001
Vietnam, 31083226.0, 25448.0, 1252590.0, 70.4
Wallis and Futuna, 0.0, 0.0, 0.0, 0.0
World, 0.0, 5224655.0, 263510704.0, 73.7
Yemen, 0.0, 1950.0, 10006.0, 4.7
Zambia, 2716971.0, 3667.0, 210195.0, 58.400000000000006
Zimbabwe, 1453184.0, 4707.0, 135337.0, 57.1
